"filename", "language", "JSON", "JavaScript", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Cart\Cart.js", "JavaScript", 0, 81, 0, 0, 0, 14, 10, 105
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Cart\CartItemCard.css", "CSS", 0, 0, 50, 0, 0, 0, 9, 59
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Cart\CartItemCard.js", "JavaScript", 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Cart\CheckoutSteps.css", "CSS", 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Cart\CheckoutSteps.js", "JavaScript", 0, 45, 0, 0, 0, 0, 5, 50
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Cart\ConfirmOrder.css", "CSS", 0, 0, 165, 0, 0, 0, 34, 199
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Cart\ConfirmOrder.js", "JavaScript", 0, 88, 0, 0, 0, 2, 9, 99
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Cart\OrderSuccess.css", "CSS", 0, 0, 41, 0, 0, 0, 2, 43
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Cart\OrderSuccess.js", "JavaScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Cart\Payment.css", "CSS", 0, 0, 74, 0, 0, 0, 12, 86
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Cart\Payment.js", "JavaScript", 0, 135, 0, 0, 0, 0, 19, 154
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Cart\Shipping.css", "CSS", 0, 0, 94, 0, 0, 0, 12, 106
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Cart\Shipping.js", "JavaScript", 0, 112, 0, 0, 0, 0, 15, 127
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Home\Home.css", "CSS", 0, 0, 412, 0, 0, 39, 97, 548
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Home\Home.js", "JavaScript", 0, 440, 0, 0, 0, 0, 74, 514
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Home\ProductCard.css", "CSS", 0, 0, 70, 0, 0, 5, 19, 94
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Home\ProductCard.js", "JavaScript", 0, 30, 0, 0, 0, 0, 8, 38
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Home\VehicleCard.css", "CSS", 0, 0, 58, 0, 0, 2, 12, 72
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Home\VehicleCard.js", "JavaScript", 0, 32, 0, 0, 0, 0, 8, 40
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Order\MyOrders.css", "CSS", 0, 0, 67, 0, 0, 0, 13, 80
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Order\MyOrders.js", "JavaScript", 0, 99, 0, 0, 0, 0, 12, 111
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Order\OrderDetails.css", "CSS", 0, 0, 89, 0, 0, 0, 20, 109
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Order\OrderDetails.js", "JavaScript", 0, 103, 0, 0, 0, 0, 9, 112
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Product\ProductDetails.css", "CSS", 0, 0, 239, 0, 0, 114, 61, 414
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Product\ProductDetails.js", "JavaScript", 0, 402, 0, 0, 0, 4, 29, 435
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Product\Products.css", "CSS", 0, 0, 341, 0, 0, 29, 78, 448
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Product\Products.js", "JavaScript", 0, 581, 0, 0, 0, 6, 40, 627
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Product\ReviewCard.js", "JavaScript", 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Product\Search.css", "CSS", 0, 0, 71, 0, 0, 5, 13, 89
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Product\Search.js", "JavaScript", 0, 41, 0, 0, 0, 0, 13, 54
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Route\AdminProtectedRoute.js", "JavaScript", 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Route\ProtectedRoute.js", "JavaScript", 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Route\TransportProtectedRoute.js", "JavaScript", 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\TransportAgency\NewVehicle.css", "CSS", 0, 0, 148, 0, 0, 23, 26, 197
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\TransportAgency\NewVehicle.js", "JavaScript", 0, 252, 0, 0, 0, 27, 19, 298
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\TransportAgency\TransportAgencyDashboard.js", "JavaScript", 0, 56, 0, 0, 0, 0, 12, 68
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\TransportAgency\UpdateVehicle.js", "JavaScript", 0, 292, 0, 0, 0, 42, 26, 360
